已	51
像	24
较	15
作	24
坐	24
道	43
件	24
变	41
层	51
块	4
占	21
字	44
项	12
根	2
式	15
未	11
病	41
进	11
步	21
化	24
座	41
画	1
只	14
办	53
越	4
加	53
质	33
制	31
支	12
县	25
市	41
鱼	35
脚	23
型	11
原	13
流	3
急	35
树	2
记	45
响	14
军	45
代	24
断	43
形	11
细	55
妈	53
南	12
属	51
身	32
般	33
须	33
摆	42
立	41
背	21
教	12
封	4
叶	14
戏	54
石	13
尽	51
压	13
轻	15
借	24
器	14
斤	33
圆	25
例	24
报	42
忘	41
易	22
余	24
交	41
男	25
级	55
传	24
首	43
酒	3
刘	41
音	41
意	41
待	33
亮	41
盐	4
章	41
液	3
枝	2
试	45
右	13
戴	12
势	42
久	35
遍	45
知	31
辆	15
诸	45
母	55
雨	12
赵	4
皆	15
棵	2
师	23
古	12
弱	51
厚	13
食	24
社	45
氏	35
英	5
粒	43
稍	31
静	11
针	1
城	4
今	24
敢	51
赶	4
油	3
权	2
紧	22
员	14
杯	2
功	12
核	2
兼	43
室	44
科	31
官	44
碗	13
何	24
甲	25
喂	14
完	44
沿	3
工	12
鸡	54
实	44
示	11
调	45
姓	53
纸	55
理	11
布	13
壁	51
异	51
犯	35
现	11
治	3
唉	14
集	24
愈	24
复	31
乐	35
舞	31
绿	55
滴	3
页	13
河	3
冰	41
义	43
亿	24
凭	24
吴	14
观	54
吸	14
建	51
战	21
乘	31
课	45
球	11
夹	14
结	55
剂	41
株	2
业	22
乡	55
依	24
网	25
氧	31
演	3
乙	5
羊	43
致	15
蒋	5
救	12
湿	3
宋	44
妻	15
钢	1
尖	23
青	11
精	43
粮	43
雾	14
升	31
曲	25
利	31
桥	2
夏	13
暗	22
具	25
骨	25
肺	23
守	44
劲	54
题	22
盛	13
哥	1
脱	23
露	14
香	31
键	1
界	25
获	5
罪	25
抬	42
莫	5
公	34
虚	21
源	3
冬	35
扶	42
富	44
曰	22
绝	55
镇	1
芽	5
始	53
固	25
施	41
饿	35
骑	55
众	24
托	42
墙	4
患	25
驻	55
蹲	14
叹	14
编	55
基	12
礼	45
失	31
侧	24
躲	32
射	32
谓	45
瓶	43
瘦	41
伸	24
氢	31
岛	35
茎	5
终	55
谷	34
鞋	12
积	31
喜	12
稀	31
格	2
哇	14
院	52
扑	42
阴	52
枚	2
案	44
矣	54
迟	51
填	4
泪	3
世	12
胜	23
吐	14
目	25
闻	42
淡	3
校	2
糖	43
查	2
志	12
磨	41
盯	25
京	41
净	41
镜	1
蛋	52
冻	41
象	35
鼓	12
症	41
肾	22
沉	3
继	55
甜	31
闭	42
菌	5
束	12
胃	25
刻	41
幼	55
登	54
划	15
灵	51
陆	52
寒	44
振	42
番	34
决	41
弹	51
氮	31
投	42
野	25
毒	11
付	24
磷	13
腹	23
认	45
吊	14
赴	4
临	22
距	14
挨	42
剩	31
扇	45
农	45
商	41
柱	2
阿	52
割	44
严	12
遇	25
拨	42
搬	42
沙	3
纲	55
舌	31
律	33
防	52
减	41
壮	41
滑	3
硅	13
客	44
湖	3
简	31
浮	3
置	25
店	41
桌	21
思	25
洋	3
宜	44
伪	24
互	15
涂	3
弦	51
述	2
止	21
迎	35
紫	21
袋	24
朱	31
彩	34
雌	21
顾	13
己	51
惊	44
凉	41
注	3
税	31
冯	41
奇	13
旗	41
兴	44
掌	24
腔	23
歇	22
肩	45
阳	52
姐	53
池	3
宫	44
酶	12
碎	13
添	3
潮	3
截	12
踩	14
盒	24
育	41
尤	13
君	51
炮	43
独	35
街	33
撞	42
幢	25
输	15
奖	41
废	41
肝	23
牵	13
鼠	32
坡	4
饮	35
寄	44
剪	43
附	52
聚	12
梢	2
摄	42
咳	14
旅	41
迁	31
伴	24
疏	52
磁	13
岩	25
仗	24
桩	2
州	43
杆	2
缘	55
硫	13
郑	43
兔	35
